id,section,priority,verification,requirement
SYS-001,System,MUST,Test,"Le système doit séparer explicitement vérité terrain, mesures capteurs, mesures injectées et sorties estimateurs."
SYS-002,System,MUST,Test,Le système doit exécuter un scénario à pas fixe déterministe.
SYS-003,System,MUST,Test,Le système doit permettre de réinitialiser complètement un run sans redémarrer le processus.
SYS-004,System,MUST,Test,Le système doit accepter un seed explicite et reproduire le même bruit pour la même version/configuration.
SYS-005,System,MUST,Test,Le système doit exécuter au moins quatre architectures de navigation sur la même séquence de mesures.
SYS-006,System,MUST,Test,Le système doit supporter les modes native benchmark et WebAssembly demo à partir du même core C++.
SYS-007,System,MUST,Test,Le système doit inclure un mécanisme de version de schéma pour les fichiers de scénario et de télémétrie.
SYS-008,System,MUST,Test,Le système doit enregistrer la version Git/commit dans les manifests de benchmark.
SYS-009,System,MUST,Test,Le système doit rester fonctionnel sans connexion réseau une fois la démo chargée.
SYS-010,System,MUST,Test,Le système doit signaler toute configuration invalide avant le démarrage du run.
SYS-011,System,MUST,Test,Le système ne doit contenir aucun module d’émission RF ou de contrôle de matériel GNSS réel.
SYS-012,System,MUST,Test,Le système doit fournir un mode replay ne recalculant pas les capteurs mais rejouant la télémétrie enregistrée.
SYS-013,System,MUST,Test,Le système doit permettre l’ajout d’un nouveau capteur sans modifier le simulateur ground truth.
SYS-014,System,MUST,Test,Le système doit permettre l’ajout d’un nouvel estimateur via interface commune.
SYS-015,System,MUST,Test,Le système doit fournir une horloge de simulation monotone indépendante de l’horloge murale.
SYS-016,System,MUST,Test,Le système doit exporter un verdict de conformité du run aux critères de la suite.
SYS-017,System,MUST,Test,Le système doit conserver les échecs de runs au lieu de les masquer.
SYS-018,System,MUST,Test,Le système doit fonctionner sous Linux/WSL pour le développement principal.
SYS-019,System,SHOULD,Build,Le système devrait supporter Windows natif via CMake presets.
SYS-020,System,COULD,Demo,Le système pourrait intégrer JSBSim comme source de ground truth optionnelle après V1.
SIM-001,Simulator,MUST,Test,"Le simulateur doit produire position NED, vitesse NED et attitude à chaque tick."
SIM-002,Simulator,MUST,Test,Le simulateur doit produire les grandeurs nécessaires à l’IMU synthétique.
SIM-003,Simulator,MUST,Test,Le simulateur doit proposer un profil d’approche rectiligne.
SIM-004,Simulator,MUST,Test,Le simulateur doit proposer un profil avec virage stabilisé.
SIM-005,Simulator,MUST,Test,Le simulateur doit proposer un profil de roulage.
SIM-006,Simulator,MUST,Test,Le simulateur doit supporter une durée de run d’au moins 10 minutes simulées.
SIM-007,Simulator,MUST,Test,Le pas de temps de référence doit être configurable et fixé à 10 ms par défaut.
SIM-008,Simulator,MUST,Test,Les trajectoires nominales doivent respecter des bornes de vitesse/accélération configurables.
SIM-009,Simulator,MUST,Test,Le simulateur doit pouvoir charger la piste synthétique depuis un fichier de scène.
SIM-010,Simulator,MUST,Test,Le simulateur doit exposer une transformation NED vers coordonnées UI.
SIM-011,Simulator,MUST,Test,Le simulateur doit fournir une altitude ground truth indépendante du baromètre simulé.
SIM-012,Simulator,MUST,Test,Le simulateur doit produire un identifiant de phase de mission.
SIM-013,Simulator,MUST,Test,Le simulateur doit avoir des tests de conservation/cohérence cinématique sur profils simples.
SIM-014,Simulator,MUST,Test,Le ground truth doit être immuable depuis les modules capteurs/faults/estimateurs.
SIM-015,Simulator,SHOULD,Test,Un adaptateur WGS84 simplifié devrait être fourni pour afficher latitude/longitude.
SENS-001,Sensors,MUST,Test,"Chaque mesure doit inclure sensor_id, sequence, sample_time et delivery_time."
SENS-002,Sensors,MUST,Test,Le GNSS synthétique doit produire au minimum position 3D et vitesse 3D.
SENS-003,Sensors,MUST,Test,"Le GNSS doit avoir cadence, bruit, biais et latence configurables."
SENS-004,Sensors,MUST,Test,Le GNSS doit supporter un état unavailable.
SENS-005,Sensors,MUST,Test,L’IMU doit produire accélération spécifique 3 axes et vitesse angulaire 3 axes.
SENS-006,Sensors,MUST,Test,L’IMU doit supporter biais constant et random walk configurables.
SENS-007,Sensors,MUST,Test,L’IMU doit fonctionner à au moins 100 Hz dans la configuration nominale.
SENS-008,Sensors,MUST,Test,Le baromètre doit fournir une altitude/pression synthétique indépendante du GNSS.
SENS-009,Sensors,MUST,Test,"Le capteur vision-relative doit fournir au minimum offset latéral, longitudinal et heading relatif piste."
SENS-010,Sensors,MUST,Test,Le capteur vision-relative doit avoir un indicateur de validité/quality séparé de la mesure.
SENS-011,Sensors,MUST,Test,Chaque capteur doit posséder un flux RNG indépendant dérivé du seed global.
SENS-012,Sensors,MUST,Test,Les modèles de bruit doivent être documentés avec unités.
SENS-013,Sensors,MUST,Test,Une mesure en retard doit conserver son sample_time original.
SENS-014,Sensors,MUST,Test,Une valeur NaN/Inf générée accidentellement doit être détectée et marquée invalid avant l’estimateur.
SENS-015,Sensors,MUST,Test,Les capteurs doivent être activables/désactivables par configuration.
SENS-016,Sensors,MUST,Test,Les covariances de mesure utilisées par les estimateurs doivent être configurables.
SENS-017,Sensors,MUST,Test,Le GNSS doit pouvoir simuler une perte progressive de disponibilité.
SENS-018,Sensors,MUST,Test,La vision doit pouvoir simuler une baisse de qualité sans devenir immédiatement unavailable.
SENS-019,Sensors,SHOULD,Test,L’extension GNSS pseudorange doit simuler au moins 6 satellites visibles.
SENS-020,Sensors,SHOULD,Test,L’extension pseudorange devrait permettre un outlier sur satellite ciblé.
FI-001,Fault injection,MUST,Test,Le fault engine doit supporter une perte totale de source.
FI-002,Fault injection,MUST,Test,Le fault engine doit supporter un freeze de valeur et/ou timestamp.
FI-003,Fault injection,MUST,Test,Le fault engine doit supporter un biais step.
FI-004,Fault injection,MUST,Test,Le fault engine doit supporter une rampe de biais.
FI-005,Fault injection,MUST,Test,Le fault engine doit supporter un noise burst.
FI-006,Fault injection,MUST,Test,Le fault engine doit supporter une latence additionnelle.
FI-007,Fault injection,MUST,Test,Le fault engine doit supporter un drop probabiliste de mesures.
FI-008,Fault injection,MUST,Test,Le fault engine doit supporter un GNSS position step spoof synthétique.
FI-009,Fault injection,MUST,Test,Le fault engine doit supporter un GNSS slow-drift synthétique.
FI-010,Fault injection,MUST,Test,Le fault engine doit supporter un GNSS velocity inconsistency synthétique.
